"FLOW","Type of FDI","ECOACT","Industry","CUR","Currency","COU","Reporting country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IN","Inward","1605","Food products","SUB","Reported currency","MEX","Mexico","2006","2006","USD","US Dollar","6","Millions",,,1933.099,,
"IN","Inward","1605","Food products","SUB","Reported currency","MEX","Mexico","2007","2007","USD","US Dollar","6","Millions",,,1472.553,,
"IN","Inward","1605","Food products","SUB","Reported currency","MEX","Mexico","2008","2008","USD","US Dollar","6","Millions",,,1461.206,,
"IN","Inward","1605","Food products","SUB","Reported currency","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,1061.068,,
"IN","Inward","1605","Food products","SUB","Reported currency","MEX","Mexico","2010","2010","USD","US Dollar","6","Millions",,,7095.706,,
"IN","Inward","1605","Food products","SUB","Reported currency","MEX","Mexico","2011","2011","USD","US Dollar","6","Millions",,,2857.058,,
"IN","Inward","1605","Food products","SUB","Reported currency","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,188.981,,
"IN","Inward","1605","Food products","USD","US Dollar","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,3398.012,,
"IN","Inward","1605","Food products","USD","US Dollar","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,3933.415,,
"IN","Inward","1605","Food products","USD","US Dollar","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,2443.962,,
"IN","Inward","1605","Food products","USD","US Dollar","MEX","Mexico","2006","2006","USD","US Dollar","6","Millions",,,1933.099,,
"IN","Inward","1605","Food products","USD","US Dollar","MEX","Mexico","2007","2007","USD","US Dollar","6","Millions",,,1472.553,,
"IN","Inward","1605","Food products","USD","US Dollar","MEX","Mexico","2008","2008","USD","US Dollar","6","Millions",,,1461.206,,
"IN","Inward","1605","Food products","USD","US Dollar","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,1061.068,,
"IN","Inward","1605","Food products","USD","US Dollar","MEX","Mexico","2010","2010","USD","US Dollar","6","Millions",,,7095.706,,
"IN","Inward","1605","Food products","USD","US Dollar","MEX","Mexico","2011","2011","USD","US Dollar","6","Millions",,,2857.058,,
"IN","Inward","1605","Food products","USD","US Dollar","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,188.981,,
"IN","Inward","1805","Textiles and wearing apparel","SUB","Reported currency","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,282.084,,
"IN","Inward","1805","Textiles and wearing apparel","SUB","Reported currency","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,412.439,,
